k,count,Spsi_mean,Spsi_sem
9.4339818454966931e-02,1.5760000000000000e+03,1.4953062456773815e-09,4.2837166564684290e-11
9.4723313651938340e-02,1.5120000000000000e+03,1.4905232594080939e-09,4.2610971639534064e-11
9.5106808848909749e-02,1.5640000000000000e+03,1.4910788363942372e-09,4.2661192807199769e-11
9.5490304045881158e-02,1.5360000000000000e+03,1.4862777587429803e-09,4.2449993820742590e-11
9.5873799242852567e-02,1.6080000000000000e+03,1.4882230112733908e-09,4.2576670620939102e-11
9.6257294439823990e-02,1.5720000000000000e+03,1.4836601215654690e-09,4.2472871905912845e-11
9.6640789636795399e-02,1.5840000000000000e+03,1.4815882736555969e-09,4.2480083309513144e-11
9.7024284833766808e-02,1.5680000000000000e+03,1.4782961323127226e-09,4.2375148084388046e-11
9.7407780030738217e-02,1.5960000000000000e+03,1.4760690613520947e-09,4.2259281502820692e-11
9.7791275227709626e-02,1.6240000000000000e+03,1.4796290830134978e-09,4.2231574052927148e-11
9.8174770424681035e-02,1.4760000000000000e+03,1.4899128314688361e-09,4.2547521471209415e-11
9.8558265621652444e-02,1.4040000000000000e+03,1.5089720483512684e-09,4.3063998469181676e-11
9.8941760818623853e-02,1.3280000000000000e+03,1.5103778210508080e-09,4.3233860537512400e-11
9.9325256015595262e-02,1.2840000000000000e+03,1.5172554751801523e-09,4.3308224379348563e-11
9.9708751212566671e-02,1.2600000000000000e+03,1.5295464746664595e-09,4.3686697614734491e-11
1.0009224640953808e-01,1.1680000000000000e+03,1.5287885109563329e-09,4.3661980019749215e-11
1.0047574160650950e-01,1.2120000000000000e+03,1.5373697468467924e-09,4.3936099923029884e-11
1.0085923680348091e-01,1.1480000000000000e+03,1.5356652332745456e-09,4.4056706063009701e-11
1.0124273200045232e-01,1.1320000000000000e+03,1.5425129771990961e-09,4.4160337963893457e-11
1.0162622719742373e-01,1.0800000000000000e+03,1.5481334568404693e-09,4.4174425253484086e-11
1.0200972239439514e-01,1.0200000000000000e+03,1.5469558821639405e-09,4.4140749173181501e-11
1.0239321759136655e-01,1.1080000000000000e+03,1.5553581619309172e-09,4.4529743422162483e-11
1.0277671278833796e-01,1.0320000000000000e+03,1.5528254567335410e-09,4.4512510364719744e-11
1.0316020798530937e-01,1.0040000000000000e+03,1.5580064635488679e-09,4.4575429202129791e-11
1.0354370318228077e-01,9.7200000000000000e+02,1.5626968277825103e-09,4.4745038866674492e-11
1.0392719837925218e-01,9.4400000000000000e+02,1.5612671259566164e-09,4.4609107598540967e-11
1.0431069357622361e-01,9.8800000000000000e+02,1.5687965085101641e-09,4.4915594879086637e-11
1.0469418877319502e-01,9.0000000000000000e+02,1.5706965332877119e-09,4.5044085628891500e-11
1.0507768397016642e-01,9.2400000000000000e+02,1.5739362184663198e-09,4.5069160998504386e-11
1.0546117916713783e-01,8.9600000000000000e+02,1.5741239555854072e-09,4.5011884729034912e-11
1.0584467436410924e-01,8.6800000000000000e+02,1.5755501583034994e-09,4.5074633264829898e-11
1.0622816956108065e-01,8.9200000000000000e+02,1.5812449764288138e-09,4.5335970202327326e-11
1.0661166475805206e-01,8.0800000000000000e+02,1.5835013129878947e-09,4.5373574941898016e-11
1.0699515995502347e-01,8.2000000000000000e+02,1.5892183922417158e-09,4.5493156607929892e-11
1.0737865515199488e-01,8.5200000000000000e+02,1.5830682854451771e-09,4.5318293503543595e-11
1.0776215034896629e-01,7.9600000000000000e+02,1.5929036099188661e-09,4.5333732897106819e-11
1.0814564554593770e-01,7.8400000000000000e+02,1.5950054287991858e-09,4.5603703077654302e-11
1.0852914074290912e-01,7.4000000000000000e+02,1.5953596308748307e-09,4.5694643945222250e-11
1.0891263593988053e-01,7.8800000000000000e+02,1.5992194181506141e-09,4.5771474130740140e-11
1.0929613113685194e-01,7.3600000000000000e+02,1.5990441911887931e-09,4.5892507172572044e-11
1.0967962633382335e-01,7.3200000000000000e+02,1.6075251277572898e-09,4.6067384319256016e-11
1.1006312153079476e-01,7.1600000000000000e+02,1.6056580964285055e-09,4.5925301376483241e-11
1.1044661672776616e-01,6.8400000000000000e+02,1.6079393209281643e-09,4.5840174430731017e-11
1.1083011192473757e-01,7.2000000000000000e+02,1.6145777944476566e-09,4.6166944739430638e-11
1.1121360712170898e-01,6.6000000000000000e+02,1.6130040834909111e-09,4.6059710931141843e-11
