mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
34,8.5902924121595903e-01,8.5902924121595903e-01,1.2148508034026781e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.7993654262651007e-01,5.7886008431674862e-01,2.3783148470186968e-03,1.8555721016201103e-03,10,1152
35,8.8357293382212931e-01,8.8357293382212931e-01,1.2495608263570404e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.9299244062698675e-01,5.8685007592574556e-01,2.3958030097662414e-03,3.9677192991048387e-03,10,1152
36,9.0811662642829960e-01,9.0811662642829960e-01,1.2842708493114028e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6917673967886440e-01,5.7154756179898181e-01,2.4147663096172438e-03,1.4478830734346679e-03,10,1152
37,9.3266031903446978e-01,9.3266031903446978e-01,1.3189808722657648e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6473113302326861e-01,5.6953041621460887e-01,2.3904541655116202e-03,2.1183591354100081e-03,10,1152
38,9.5720401164064006e-01,9.5720401164064006e-01,1.3536908952201272e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.7683193981388881e-01,5.7805839404589787e-01,2.3833161933815260e-03,2.6749317378703228e-03,10,1152
39,9.8174770424681035e-01,9.8174770424681035e-01,1.3884009181744894e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6842133456291632e-01,5.7011105041001742e-01,2.3454926617380864e-03,2.4318927501123635e-03,10,1152
40,1.0062913968529805e+00,1.0062913968529805e+00,1.4231109411288516e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6570805245901035e-01,5.6586391301746963e-01,2.4644261321157138e-03,7.8423821438968768e-04,10,1152
41,1.0308350894591509e+00,1.0308350894591509e+00,1.4578209640832140e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6142959713020835e-01,5.6268454209945007e-01,2.3691929772951498e-03,9.8262301047202295e-04,10,1152
42,1.0553787820653211e+00,1.0553787820653211e+00,1.4925309870375760e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5609270728520321e-01,5.5759391608818254e-01,2.4192346195919230e-03,2.2258923806126926e-03,10,1152
43,1.0799224746714913e+00,1.0799224746714913e+00,1.5272410099919382e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6724807688109891e-01,5.6459086245596080e-01,2.3436513563589050e-03,2.0406077748001570e-03,10,1152
44,1.1044661672776617e+00,1.1044661672776617e+00,1.5619510329463007e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6701533308552809e-01,5.6572176825153198e-01,2.3257989577596286e-03,1.8475338448806402e-03,10,1152
45,1.1290098598838318e+00,1.1290098598838318e+00,1.5966610559006627e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5892603690235121e-01,5.6085071032350853e-01,2.3629308167630717e-03,1.3782120845502923e-03,10,1152
46,1.1535535524900022e+00,1.1535535524900022e+00,1.6313710788550251e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5461580637500496e-01,5.5519056797154809e-01,2.3833221488485917e-03,1.8304092566742329e-03,10,1152
47,1.1780972450961724e+00,1.1780972450961724e+00,1.6660811018093873e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6272553140611581e-01,5.6372319797520443e-01,2.3773056151275614e-03,1.3631100469960048e-03,10,1152
48,1.2026409377023426e+00,1.2026409377023426e+00,1.7007911247637495e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5792040370688989e-01,5.5652531282474627e-01,2.2839836341004382e-03,1.5754298125318813e-03,10,1152
49,1.2271846303085130e+00,1.2271846303085130e+00,1.7355011477181119e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5881844979374917e-01,5.5742026502510666e-01,2.3014163048758448e-03,3.8461125941667497e-03,10,1152
50,1.2517283229146832e+00,1.2517283229146832e+00,1.7702111706724739e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5584541308174851e-01,5.5220460735725097e-01,2.2214476152303910e-03,2.3951712384707516e-03,10,1152
51,1.2762720155208536e+00,1.2762720155208536e+00,1.8049211936268363e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6481753509709876e-01,5.6679055838825354e-01,2.4063091222389118e-03,1.7845520702146843e-03,10,1152
52,1.3008157081270237e+00,1.3008157081270237e+00,1.8396312165811985e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4871389113812752e-01,5.4794846606891634e-01,2.3238435863118046e-03,1.2354516625702314e-03,10,1152
53,1.3253594007331939e+00,1.3253594007331939e+00,1.8743412395355605e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5075461042633767e-01,5.5359124962765638e-01,2.2646902641583989e-03,1.5110877946987373e-03,10,1152
54,1.3499030933393643e+00,1.3499030933393643e+00,1.9090512624899230e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4744822727259801e-01,5.4563806148801974e-01,2.3239870640626168e-03,1.5336962202863360e-03,10,1152
55,1.3744467859455345e+00,1.3744467859455345e+00,1.9437612854442852e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5968206500794160e-01,5.6140426935966536e-01,2.3755003647247656e-03,1.2124661860538190e-03,10,1152
56,1.3989904785517047e+00,1.3989904785517047e+00,1.9784713083986474e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4577150703760136e-01,5.4331582734758577e-01,2.2862960848210887e-03,2.1021997610768035e-03,10,1152
57,1.4235341711578751e+00,1.4235341711578751e+00,2.0131813313530098e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5100125064398986e-01,5.4880434618492158e-01,2.2560658484005970e-03,2.1526971071669258e-03,10,1152
58,1.4480778637640452e+00,1.4480778637640452e+00,2.0478913543073718e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3444445294900689e-01,5.3218116638144164e-01,2.2167815906843236e-03,1.4202586290148417e-03,10,1152
59,1.4726215563702154e+00,1.4726215563702154e+00,2.0826013772617338e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3707320091422150e-01,5.3838817534296557e-01,2.2699004862305082e-03,2.2311472974877586e-03,10,1152
60,1.4971652489763858e+00,1.4971652489763858e+00,2.1173114002160962e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4682022764836191e-01,5.5055101470193080e-01,2.3365528198761856e-03,2.1304556286996365e-03,10,1152
61,1.5217089415825560e+00,1.5217089415825560e+00,2.1520214231704586e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3811302048228926e-01,5.3732871487364142e-01,2.2577170276873574e-03,1.5646496742038141e-03,10,1152
62,1.5462526341887264e+00,1.5462526341887264e+00,2.1867314461248211e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5707915869195324e-01,5.5451354690480592e-01,2.2671619554668729e-03,1.5770751093098407e-03,10,1152
63,1.5707963267948966e+00,1.5707963267948966e+00,2.2214414690791831e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4839762282734461e-01,5.4581977477460253e-01,2.3136062607992565e-03,1.7119467003475631e-03,10,1152
64,1.5953400194010667e+00,1.5953400194010667e+00,2.2561514920335450e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5292224450199046e-01,5.5496414423591367e-01,2.3170577956761959e-03,1.9504372809386031e-03,10,1152
65,1.6198837120072371e+00,1.6198837120072371e+00,2.2908615149879075e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5246711293958928e-01,5.4779152548423926e-01,2.2735455920496073e-03,3.7023957989847402e-03,10,1152
66,1.6444274046134073e+00,1.6444274046134073e+00,2.3255715379422699e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3496982412147376e-01,5.3684985223878212e-01,2.3109339074785249e-03,3.0436658486579955e-03,10,1152
67,1.6689710972195777e+00,1.6689710972195777e+00,2.3602815608966323e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5171098033774035e-01,5.4561879129492752e-01,2.3063020361076539e-03,3.2276026198050645e-03,10,1152
68,1.6935147898257479e+00,1.6935147898257479e+00,2.3949915838509943e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5287295313405727e-01,5.5040678042235824e-01,2.3542081839843091e-03,1.5410314309779525e-03,10,1152
69,1.7180584824319181e+00,1.7180584824319181e+00,2.4297016068053563e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5014835852971888e-01,5.5031416117275589e-01,2.3988187651544932e-03,1.9006963981434612e-03,10,1152
70,1.7426021750380885e+00,1.7426021750380885e+00,2.4644116297597187e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4956206100981553e-01,5.5137922242856852e-01,2.2705832298856128e-03,1.2023237879582214e-03,10,1152
71,1.7671458676442586e+00,1.7671458676442586e+00,2.4991216527140807e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4481293192148272e-01,5.4490970693595453e-01,2.2863746714682242e-03,1.5533473653606225e-03,10,1152
72,1.7916895602504288e+00,1.7916895602504288e+00,2.5338316756684431e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5053763998912553e-01,5.4935477201058480e-01,2.2908988255320854e-03,1.3982713591855578e-03,10,1152
73,1.8162332528565992e+00,1.8162332528565992e+00,2.5685416986228056e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3705495833056360e-01,5.3940996232272009e-01,2.2378716294438909e-03,1.3415995131292133e-03,10,1152
74,1.8407769454627694e+00,1.8407769454627694e+00,2.6032517215771676e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4752483616106185e-01,5.4661853341616573e-01,2.2223024847677613e-03,1.1802664120377419e-03,10,1152
75,1.8653206380689396e+00,1.8653206380689396e+00,2.6379617445315295e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3660748285379745e-01,5.3774419899902270e-01,2.3278591541311643e-03,1.3805369839490602e-03,10,1152
76,1.8898643306751099e+00,1.8898643306751099e+00,2.6726717674858920e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3470132424478622e-01,5.3429873316334331e-01,2.2566417597501510e-03,1.4050256183616471e-03,10,1152
77,1.9144080232812801e+00,1.9144080232812801e+00,2.7073817904402544e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4410579377410939e-01,5.4530939809349932e-01,2.2541040206144900e-03,3.3147141402745189e-03,10,1152
78,1.9389517158874505e+00,1.9389517158874505e+00,2.7420918133946168e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4229519815331018e-01,5.4292597989860480e-01,2.2314337758934303e-03,1.6949542290361364e-03,10,1152
79,1.9634954084936207e+00,1.9634954084936207e+00,2.7768018363489788e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.2387890402489112e-01,5.2525384347399096e-01,2.1723366320037787e-03,3.0229072936210615e-03,10,1152
80,1.9880391010997909e+00,1.9880391010997909e+00,2.8115118593033408e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.4015006182760050e-01,5.4337330506329662e-01,2.2747158594817992e-03,1.5221680872271543e-03,10,1152
81,2.0125827937059610e+00,2.0125827937059610e+00,2.8462218822577032e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.3081830776842120e-01,5.3321940657851519e-01,2.1900336049263712e-03,1.3834846359956263e-03,10,1152
82,2.0371264863121317e+00,2.0371264863121317e+00,2.8809319052120657e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.5241684158395432e-01,5.5048567306002427e-01,2.3159081331136462e-03,2.3749627738803916e-03,10,1152
