nk,k,amplitude,time,u_mean,u_sem,n_samples
24,0.58904862254808621,0.027999133999999998,4800.0000000815626,0.24100113933962988,0.00064926081715533648,16
24,0.58904862254808621,0.027999133999999998,4900.0000000837454,0.24071231503841137,0.00076202673406928546,16
24,0.58904862254808621,0.027999133999999998,5000.0000000859281,0.24180977902338202,0.00060613784053196096,16
24,0.58904862254808621,0.027999133999999998,5100.0000000881109,0.2402821316876016,0.0007835616856234532,16
24,0.58904862254808621,0.027999133999999998,5200.0000000902937,0.24021772077213763,0.00058300154276616446,16
24,0.58904862254808621,0.027999133999999998,5300.0000000924765,0.24190930129120325,0.00055106681388815697,16
24,0.58904862254808621,0.027999133999999998,5400.0000000946593,0.24074589023241641,0.00069256786824255332,16
24,0.58904862254808621,0.027999133999999998,5500.0000000968421,0.24111440398087935,0.00074073548629315198,16
24,0.58904862254808621,0.027999133999999998,5600.0000000990249,0.24082168456370392,0.00061463445922534208,16
24,0.58904862254808621,0.027999133999999998,5700.0000001012077,0.24047623751363842,0.00059034126288622535,16
24,0.58904862254808621,0.027999133999999998,5800.0000001033904,0.24120782212563385,0.00078690935198229143,16
24,0.58904862254808621,0.027999133999999998,5900.0000001055732,0.24122140766693526,0.00064767106851284476,16
24,0.58904862254808621,0.027999133999999998,6000.000000107756,0.24096679676734273,0.00086180926915936456,16
24,0.58904862254808621,0.027999133999999998,6100.0000001099388,0.24125399624514821,0.000537059708125239,16
24,0.58904862254808621,0.027999133999999998,6200.0000001121216,0.24117700095565098,0.00054402468947442801,16
24,0.58904862254808621,0.027999133999999998,6300.0000001143044,0.24022287369686146,0.0006836880926154315,16
24,0.58904862254808621,0.027999133999999998,6400.0000001164872,0.24126148117291332,0.000601836630392757,16
24,0.58904862254808621,0.027999133999999998,6500.00000011867,0.24224074079465371,0.0006750123143462063,16
24,0.58904862254808621,0.027999133999999998,6600.0000001208527,0.24211964274712941,0.0007210924315378751,16
24,0.58904862254808621,0.027999133999999998,6700.0000001230355,0.24150686556941869,0.00063706115473127713,16
24,0.58904862254808621,0.027999133999999998,6800.0000001252183,0.24137725810029342,0.00047503712744838766,16
24,0.58904862254808621,0.027999133999999998,6900.0000001274011,0.24177373128827784,0.00045883814800934576,16
24,0.58904862254808621,0.027999133999999998,7000.0000001295839,0.24173584373645884,0.00067679527882683564,16
24,0.58904862254808621,0.027999133999999998,7100.0000001317667,0.24147482673462636,0.00062026604277312474,16
24,0.58904862254808621,0.027999133999999998,7200.0000001339495,0.24235201191521824,0.00056957501202857302,16
24,0.58904862254808621,0.027999133999999998,7300.0000001361323,0.24202397979159382,0.00064520831813539594,16
24,0.58904862254808621,0.027999133999999998,7400.000000138315,0.24109293384437891,0.00069211042804463718,16
24,0.58904862254808621,0.027999133999999998,7500.0000001404978,0.24161026319208428,0.00058889050060131919,16
24,0.58904862254808621,0.027999133999999998,7600.0000001426806,0.24163138556696212,0.00049259539677535082,16
24,0.58904862254808621,0.027999133999999998,7700.0000001448634,0.24054910555769191,0.00060488685976956469,16
24,0.58904862254808621,0.027999133999999998,7800.0000001470462,0.23974919125621941,0.00042189978252478026,16
24,0.58904862254808621,0.027999133999999998,7900.000000149229,0.24035164132269421,0.00055372290311645161,16
24,0.58904862254808621,0.027999133999999998,8000.0000001514118,0.24205892322938721,0.00062684543433202055,16
24,0.58904862254808621,0.027999133999999998,8100.0000001535946,0.24197570409415092,0.00057754193386413348,16
24,0.58904862254808621,0.027999133999999998,8200.0000001543212,0.24102441247939749,0.0006247418254833896,16
24,0.58904862254808621,0.027999133999999998,8300.0000001383141,0.24101353763610017,0.0006746672981387151,16
24,0.58904862254808621,0.027999133999999998,8400.000000122307,0.24206459998301966,0.0005041487714328661,16
24,0.58904862254808621,0.027999133999999998,8500.0000001062999,0.241700349143847,0.00082417610363043293,16
24,0.58904862254808621,0.027999133999999998,8600.0000000902928,0.2411007593981607,0.00060280396858090272,16
24,0.58904862254808621,0.027999133999999998,8700.0000000742857,0.24131562533537748,0.00060090238058169219,16
24,0.58904862254808621,0.027999133999999998,8800.0000000582786,0.24180489070585331,0.00076600926318311268,16
24,0.58904862254808621,0.027999133999999998,8900.0000000422715,0.24185753807593338,0.00039178244648561272,16
24,0.58904862254808621,0.027999133999999998,9000.0000000262644,0.24164209531439945,0.00077145377344858043,16
