k,S_mean,S_std,S_sem,count,Ls,FNS_BA_fit_kmax3p6,ratio_S_to_FNS
3.4710022954362234e+00,1.4812204961602111e+00,3.1104135028514068e-02,2.1993944801604322e-02,2,64;128,1.5044449161608782e+00,9.8456279804518709e-01
3.5404223413449478e+00,1.4732892539293974e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5016555883819873e+00,9.8110995978568272e-01
3.6098423872536722e+00,1.4859944938876055e+00,1.1850615423239069e-02,6.8419560046698077e-03,3,32;64;128,1.4989153853156250e+00,9.9137983934610241e-01
3.6792624331623971e+00,1.4794817238249933e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4962225038241317e+00,9.8881130316089261e-01
3.7486824790711215e+00,1.5135403082507803e+00,2.4395822966194858e-02,1.7250451852022897e-02,2,64;128,1.4935752396167594e+00,1.0133673002232841e+00
3.8181025249798459e+00,1.5166670479763908e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4909719801099788e+00,1.0172337697885623e+00
3.8875225708885703e+00,1.5302620106207485e+00,1.2235385510178354e-02,7.0641031179403194e-03,3,32;64;128,1.4884111979231911e+00,1.0281177760258406e+00
3.9569426167972948e+00,1.5461041585638371e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4858914449430276e+00,1.0405229559842564e+00
4.0263626627060196e+00,1.5742219375109625e+00,7.5819025398912859e-03,5.3612147002526358e-03,2,64;128,1.4834113468974832e+00,1.0612174032532562e+00
4.0957827086147436e+00,1.6022329497357506e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4809695983881086e+00,1.0818810537904529e+00
4.1652027545234684e+00,1.6358492148832804e+00,1.3197362514837600e-02,7.6195008005345653e-03,3,32;64;128,1.4785649583345257e+00,1.1063762911883976e+00
4.2346228004321924e+00,1.6690689179192690e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4761962457907767e+00,1.1306551704615488e+00
4.3040428463409173e+00,1.7250604375910386e+00,2.0340637539450541e-02,1.4383002737803128e-02,2,64;128,1.4738623360975924e+00,1.1704352539183231e+00
4.3734628922496412e+00,1.7801368139284837e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4715621573386539e+00,1.2096918944612522e+00
4.4428829381583661e+00,1.8335354274863311e+00,1.3121496408198235e-02,7.5756994834439593e-03,3,32;64;128,1.4692946870724060e+00,1.2479017610413339e+00
4.5123029840670910e+00,1.9139612741845711e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4670589493140520e+00,1.3046246540259856e+00
4.5817230299758149e+00,1.9996263164718182e+00,1.0450730527959405e-02,7.3897824246733634e-03,2,64;128,1.4648540117450397e+00,1.3650686692592111e+00
4.6511430758845398e+00,2.1137675688454713e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4626789831297211e+00,1.4451343002978030e+00
4.7205631217932638e+00,2.2105236399317727e+00,1.6008269250506312e-02,9.2423785610398282e-03,3,32;64;128,1.4605330109209569e+00,1.5135047434072717e+00
4.7899831677019886e+00,2.3656760240072625e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4584152790382829e+00,1.6220866978075346e+00
4.8594032136107126e+00,2.5201369664523714e+00,1.4020587911614036e-03,9.9140527885244190e-04,2,64;128,1.4563250058038935e+00,1.7304770270433227e+00
4.9288232595194374e+00,2.7082751836006320e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4542614420231490e+00,1.8623028193836426e+00
4.9982433054281614e+00,2.9310566600827195e+00,2.2889919853259427e-02,1.3215501389008290e-02,3,32;64;128,1.4522238691975986e+00,2.0183228786221679e+00
5.0676633513368863e+00,3.1983649439093420e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4502115978596717e+00,2.2054470869145737e+00
5.1370833972456111e+00,3.5156298855308203e+00,4.8101401604409783e-03,3.4012827259055634e-03,2,64;128,1.4482239660192009e+00,2.4275457166990493e+00
5.2065034431543351e+00,3.8160866945785377e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4462603377128682e+00,2.6385890527934537e+00
5.2759234890630600e+00,4.1876908137403701e+00,8.0302680873402567e-03,4.6362774418907586e-03,3,32;64;128,1.4443201016484752e+00,2.8994201555186745e+00
5.3453435349717839e+00,4.6311438529059634e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4424026699366823e+00,3.2107149753884321e+00
5.4147635808805088e+00,5.1200591792689538e+00,1.8528746178567052e-02,1.3101802069749091e-02,2,64;128,1.4405074769035100e+00,3.5543440498309282e+00
5.4841836267892328e+00,5.6033616265147543e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4386339779774981e+00,3.8949181739696108e+00
5.5536036726979576e+00,6.0810257739951865e+00,4.2668143824673432e-02,2.4634464322996878e-02,3,32;64;128,1.4367816486459457e+00,4.2323938224893656e+00
5.6230237186066825e+00,6.5253075262913063e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4349499834751342e+00,4.5474111303088360e+00
5.6924437645154065e+00,6.8606694273490589e+00,1.5584422717131653e-02,1.1019850984161472e-02,2,64;128,1.4331384951898798e+00,4.7871642903849798e+00
5.7618638104241313e+00,7.1455306687409914e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4313467138081351e+00,4.9921731749606089e+00
5.8312838563328553e+00,7.1628980555746224e+00,3.5746069307978232e-02,2.0638002737432253e-02,3,32;64;128,1.4295741858267366e+00,5.0105116100933573e+00
5.9007039022415801e+00,6.8811152546767644e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4278204734546980e+00,4.8193140402500951e+00
5.9701239481503041e+00,6.5073097073829214e+00,3.7230053439123910e-02,2.6325623250742058e-02,2,64;128,1.4260851538907502e+00,4.5630583066019597e+00
6.0395439940590290e+00,5.9428492987714199e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4243678186420925e+00,4.1722715305636280e+00
6.1089640399677538e+00,5.2991069726295885e+00,1.9475741887965227e-02,1.1244324821684394e-02,3,32;64;128,1.4226680728815562e+00,3.7247669176243363e+00
6.1783840858764778e+00,4.5901454315282146e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4209855348406071e+00,3.2302548611398034e+00
6.2478041317852027e+00,3.9434746467165436e+00,3.1837519626969471e-02,2.2512526024389912e-02,2,64;128,1.4193198352358094e+00,2.7784256577104518e+00
6.3172241776939266e+00,3.3262409724923176e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4176706167265545e+00,2.3462720700050279e+00
6.3866442236026515e+00,2.7614958526212505e+00,4.2426543336586429e-02,2.4494976216163498e-02,3,32;64;128,1.4160375334020265e+00,1.9501572433512859e+00
6.4560642695113755e+00,2.3227863064052410e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4144202502955339e+00,1.6422179376461203e+00
6.5254843154201003e+00,1.9397530638236229e+00,1.2877370743428384e-02,9.1056761765314631e-03,2,64;128,1.4128184429244592e+00,1.3729669750123286e+00
6.5949043613288243e+00,1.6525048235679924e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4112317968542318e+00,1.1709662631267101e+00
6.6643244072375492e+00,1.4051364961703794e+00,1.3116099671655888e-02,7.5725836761484895e-03,3,32;64;128,1.4096600072848160e+00,9.9679106231924008e-01
6.7337444531462740e+00,1.2139986425373861e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4081027786583420e+00,8.6215201115794915e-01
6.8031644990549980e+00,1.0696119029643039e+00,2.9874637319350474e-03,2.1124558634001422e-03,2,64;128,1.4065598242865851e+00,7.6044536783696126e-01
6.8725845449637228e+00,9.4244511046542634e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4050308659971014e+00,6.7076470223777318e-01
6.9420045908724468e+00,8.6587811816025673e-01,9.6255625865686815e-03,5.5573211504570189e-03,3,32;64;128,1.4035156337969033e+00,6.1693514294373319e-01
7.0114246367811717e+00,7.8812143952046498e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.4020138655526433e+00,5.6213526762076971e-01
7.0808446826898956e+00,7.4624600578065492e-01,1.4074513249725759e-02,9.9521837607809954e-03,2,64;128,1.4005253066863390e+00,5.3283293219904937e-01
7.1502647285986205e+00,6.9090271263736625e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3990497098857375e+00,4.9383714370934917e-01
7.2196847745073445e+00,6.5523245911724171e-01,1.7631902311246530e-02,1.0179783545723369e-02,3,32;64;128,1.3975868348284839e+00,4.6883130463779293e-01
7.2891048204160693e+00,6.2784933690239486e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3961364479193066e+00,4.4970485358941298e-01
7.3585248663247942e+00,6.1320704355319533e-01,1.2640099255693978e-02,8.9378998985722435e-03,2,64;128,1.3946983220394886e+00,4.3967002316063114e-01
7.4279449122335182e+00,5.9057249841756321e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3932722363079413e+00,4.2387444680770542e-01
7.4973649581422430e+00,5.7853327944156052e-01,1.6814036877881213e-02,9.7075887176090135e-03,3,32;64;128,1.3918579758532375e+00,4.1565539694300185e-01
7.5667850040509670e+00,5.6696180039198496e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3904553315960073e+00,4.0775261708062838e-01
7.6362050499596918e+00,5.6446803480595209e-01,1.3988232708731016e-02,9.8911742051591683e-03,2,64;128,1.3890641000411328e+00,4.0636572119978992e-01
7.7056250958684158e+00,5.5838995782714662e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3876840830792185e+00,4.0238982678831364e-01
7.7750451417771407e+00,5.5384983006296740e-01,1.4873404664354542e-02,8.5871641867313313e-03,3,32;64;128,1.3863150877968400e+00,3.9951222845244855e-01
7.8444651876858655e+00,5.5732229060376615e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3849569262951107e+00,4.0241128082925681e-01
7.9138852335945895e+00,5.5798576952115309e-01,9.3506536302773273e-03,6.6119105904957056e-03,2,64;128,1.3836094155161311e+00,4.0328272073300853e-01
7.9833052795033144e+00,5.4457129347884314e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3822723770769123e+00,3.9396815165361737e-01
8.0527253254120392e+00,5.4884196237235616e-01,1.2953436438879211e-02,7.4786700149176207e-03,3,32;64;128,1.3809456371103883e+00,3.9743922398046111e-01
8.1221453713207623e+00,5.5018417259603336e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3796290261131592e+00,3.9879138680205362e-01
8.1915654172294872e+00,5.5838995782714651e-01,9.4477192388969441e-03,6.6805463405706367e-03,2,64;128,1.3783223787996215e+00,4.0512289897915416e-01
8.2609854631382120e+00,5.5457686060079292e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3770255339621691e+00,4.0273535016092793e-01
8.3304055090469369e+00,5.5525304984226542e-01,2.2201392868630862e-02,1.2817980149088666e-02,3,32;64;128,1.3757383343371621e+00,4.0360367664668534e-01
8.3998255549556617e+00,5.5375323159989975e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3744606264763795e+00,4.0288766439204809e-01
8.4692456008643848e+00,5.6369778916622915e-01,3.6237827217686317e-03,2.5624013361092435e-03,2,64;128,1.3731922606236877e+00,4.1050172312375566e-01
8.5386656467731097e+00,5.6400283694433673e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3719330905966738e+00,4.1110083342260056e-01
8.6080856926818345e+00,5.6191325966429451e-01,1.7378134447927830e-02,1.0033270601524641e-02,3,32;64;128,1.3706829736730020e+00,4.0995129468818203e-01
8.6775057385905594e+00,5.7019530683993569e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3694417704812734e+00,4.1637061109911055e-01
8.7469257844992825e+00,5.8032289307312912e-01,1.6350162518455311e-02,1.1561310790301869e-02,2,64;128,1.3682093448961692e+00,4.2414773385221155e-01
8.8163458304080073e+00,5.7888916851602068e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.3669855639376836e+00,4.2347862610084619e-01
8.8857658763167322e+00,5.8363774559523840e-01,1.9697309271857432e-02,1.1372246810418200e-02,3,32;64;128,1.3657702976742505e+00,4.2733228756629593e-01
