k,S_mean,S_std,S_sem,count,Ls,FNS_eta0_fit_kmax1p0,ratio_S_to_FNS
3.4710022954362234e+00,2.7476535528163937e-01,9.1253058793694091e-03,6.4525656677035803e-03,2,64;128,2.8902158462492616e-01,9.5067417071362459e-01
3.5404223413449478e+00,2.6839548957061649e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.8799745702050839e-01,9.3193701203932489e-01
3.6098423872536727e+00,2.6770063490813306e-01,4.4338577244860313e-03,2.5598889507805118e-03,3,32;64;128,2.8698966781879226e-01,9.3278840643545935e-01
3.6792624331623971e+00,2.7629005368933701e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.8599762540493223e-01,9.6605715973392903e-01
3.7486824790711215e+00,2.7395542078525592e-01,1.0702347349112228e-03,7.5677023851711267e-04,2,64;128,2.8502077026274697e-01,9.6117704170369611e-01
3.8181025249798459e+00,2.7337061394872619e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.8405857267220730e-01,9.6237410255590283e-01
3.8875225708885703e+00,2.7465355719205214e-01,3.4147924115194364e-03,1.9715313180174382e-03,3,32;64;128,2.8311053061078323e-01,9.7012836858987195e-01
3.9569426167972948e+00,2.7345987739403266e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.8217616783729832e-01,9.6911046560001679e-01
4.0263626627060196e+00,2.7780556321295902e-01,6.1810000865345389e-03,4.3706270757032095e-03,2,64;128,2.8125503213951136e-01,9.8773544103260236e-01
4.0957827086147436e+00,2.7854789377650019e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.8034669372886523e-01,9.9358365911707625e-01
4.1652027545234684e+00,2.7846913191299438e-01,2.5148181183206339e-03,1.4519309175753663e-03,3,32;64;128,2.7945074376776929e-01,9.9648735286390699e-01
4.2346228004321924e+00,2.8471494768899558e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.7856679301645615e-01,1.0220706660903989e+00
4.3040428463409173e+00,2.8114375352787524e-01,4.3691195986361965e-03,3.0894340960107010e-03,2,64;128,2.7769447058790975e-01,1.0124211437579689e+00
