nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,1962.6666666666665,72,0.0022178578551191328,4.162121618364644e-05,1.8388561810916772e-05,5.7395610659335715e-08,3.9337399902213164e-05,4.025548147032829e-05,3.3346005950657115e-07,5.668327684875596e-07
1,0.0015339807878856412,1984.0,72,0.0016706756526851671,4.130653329287592e-05,1.8457528156782292e-05,5.7368180192980554e-08,3.940018199318009e-05,3.950543854212245e-05,-2.3461495420024812e-07,5.415288222240599e-07
1,0.0015339807878856412,2005.3333333333333,72,0.0011214135189601447,4.1039831025780286e-05,1.8506119138120222e-05,5.730262225440721e-08,4.5594800124055e-05,3.768573230225692e-05,-4.812382357981901e-07,4.550289255937628e-07
1,0.0015339807878856412,2026.6666666666665,72,0.0005711276648765196,4.0848491398120856e-05,1.8535448534889434e-05,5.7225933088984504e-08,4.716789753683958e-05,3.6937393105271685e-05,5.423857880653246e-10,4.243641994565246e-07
1,0.0015339807878856412,2048.0,72,2.0252137340412157e-05,4.071536108804659e-05,1.8545449177094367e-05,5.719366485483751e-08,4.209680522674222e-05,3.766016646872297e-05,2.5914338954820456e-08,4.9526603761693e-07
1,0.0015339807878856412,2069.333333333333,72,-0.0005306253041680453,4.061268478284674e-05,1.853531692689457e-05,5.72065158527743e-08,3.795768598482297e-05,3.736257671307615e-05,-1.466336519324897e-07,4.3200236089127664e-07
1,0.0015339807878856412,2090.6666666666665,72,-0.0010803549609691573,4.057210779413697e-05,1.8505279496264088e-05,5.717776324121364e-08,3.159593465623278e-05,3.8424085777583085e-05,8.090418529554543e-08,4.920619761438485e-07
1,0.0015339807878856412,2112.0,72,-0.0016288112721164858,4.060066856500965e-05,1.8455599834350808e-05,5.7093071313993505e-08,2.813362655126512e-05,3.96588472060529e-05,1.265082949091411e-07,4.2881047961667617e-07
1,0.0015339807878856412,2133.333333333333,72,-0.0021761670351636894,4.066780484480245e-05,1.8386216022907858e-05,5.703671167917102e-08,3.690739420306551e-05,3.9182844761020825e-05,1.0105071108955377e-07,4.920971781004882e-07
1,0.0015339807878856412,2154.6666666666665,72,-0.0027210669298198165,4.080496298258447e-05,1.8297460677541335e-05,5.701265833642539e-08,4.3092587732621035e-05,3.819584710121348e-05,-3.8590934171594333e-08,4.295895252372384e-07
1,0.0015339807878856412,2176.0,72,-0.003262253932259956,4.103384988367913e-05,1.818939116856332e-05,5.696568732994411e-08,3.543990700122374e-05,3.855059613779076e-05,-6.467816878625119e-07,4.857090749040168e-07
1,0.0015339807878856412,2197.333333333333,72,-0.00379984470013161,4.12905987030569e-05,1.806175429486918e-05,5.6915106971338445e-08,2.781101470530072e-05,4.016104539603301e-05,-3.572404747918184e-07,5.499261491410795e-07
1,0.0015339807878856412,2218.6666666666665,72,-0.004333596522893161,4.1553391323064935e-05,1.7914890095605343e-05,5.6877319538968506e-08,3.224259638182845e-05,4.195067145021758e-05,7.109449519196139e-07,5.330349690300516e-07
1,0.0015339807878856412,2240.0,72,-0.004862700989269962,4.187858326941431e-05,1.7749093912187664e-05,5.681499753953322e-08,5.170609694457276e-05,4.245148456107729e-05,1.6527531172883878e-07,5.120684543878091e-07
1,0.0015339807878856412,2261.333333333333,72,-0.0053868464344611604,4.228371893737502e-05,1.756410125366553e-05,5.674428002371049e-08,7.630095885383221e-05,4.245153322489758e-05,-6.361710335566149e-07,5.006452950202488e-07
1,0.0015339807878856412,2282.6666666666665,72,-0.005905459179963432,4.274899785811831e-05,1.7360171207816506e-05,5.67090624533352e-08,8.037364508798865e-05,4.4046694652533606e-05,8.584402547931261e-07,4.998670996418165e-07
1,0.0015339807878856412,2304.0,72,-0.006417546349103544,4.3272648011798276e-05,1.7138075805753524e-05,5.6681110215458916e-08,6.452204975618068e-05,4.4909989614574044e-05,1.799072668603085e-06,5.153168854915207e-07
1,0.0015339807878856412,2325.333333333333,72,-0.00692268539895816,4.3853198860776216e-05,1.689791001964689e-05,5.662241952103999e-08,5.7644166593310394e-05,4.296843215685164e-05,1.0673092358047167e-07,4.940031612774577e-07
1,0.0015339807878856412,2346.6666666666665,72,-0.007420538992333904,4.4490978345790614e-05,1.6639528327069852e-05,5.655234274630729e-08,6.263348115421811e-05,4.128863092496347e-05,-7.871200846896981e-07,4.3131683418666883e-07
1,0.0015339807878856412,2368.0,72,-0.007910425968879167,4.5195171789580076e-05,1.6363544489558464e-05,5.649246260004094e-08,6.633519072237296e-05,4.241177299904538e-05,8.930191958210927e-08,4.938576887916101e-07
1,0.0015339807878856412,2389.333333333333,72,-0.008392020234233865,4.5953083612134054e-05,1.607048837932094e-05,5.6438670537939965e-08,6.900134323715727e-05,4.3502493161648364e-05,-1.3938535458580546e-07,4.986139109687419e-07
1,0.0015339807878856412,2410.6666666666665,72,-0.008865081712095928,4.6736067025025085e-05,1.5760085272500264e-05,5.6382270254407446e-08,6.23816280949477e-05,4.3482488953257374e-05,-8.883533995946069e-07,5.016247573109697e-07
1,0.0015339807878856412,2432.0,72,-0.009329039430705005,4.753604986786888e-05,1.543246298265746e-05,5.631569017678854e-08,4.43251144602985e-05,4.451732025445591e-05,-1.1835800674570213e-07,4.491084451264786e-07
1,0.0015339807878856412,2453.333333333333,72,-0.00978355170288105,4.836601070930171e-05,1.5088601957735569e-05,5.6248610592717305e-08,3.8839571604354275e-05,4.571319375979244e-05,5.556254387191445e-07,5.076558768859771e-07
1,0.0015339807878856412,2474.6666666666665,72,-0.010228326367458868,4.92163870913026e-05,1.4729020706534939e-05,5.6191196960334066e-08,4.817219197277273e-05,4.4779806172299164e-05,-7.830619427350431e-08,4.6292653121874085e-07
1,0.0015339807878856412,2496.0,72,-0.010662613273386915,5.004092555097273e-05,1.4353677084799238e-05,5.611259955232547e-08,4.992137857382143e-05,4.2595291208529914e-05,-4.48616240978809e-07,5.181344578111418e-07
1,0.0015339807878856412,2517.333333333333,72,-0.011085657555224768,5.083076145575148e-05,1.3963030400125515e-05,5.600279578737363e-08,4.780519442186941e-05,4.066802863316918e-05,-5.063760774336995e-07,5.652388726377579e-07
1,0.0015339807878856412,2538.6666666666665,72,-0.011496896186599532,5.1646278009442934e-05,1.3557727081635995e-05,5.591889145392802e-08,5.4140595453509566e-05,3.9587495181050954e-05,-1.1477253520004185e-06,5.117190056695947e-07
1,0.0015339807878856412,2560.0,72,-0.011895781793690073,5.2508853594769574e-05,1.3138015110885025e-05,5.586574895998333e-08,6.0820889056498584e-05,3.871911620818668e-05,-8.950097052866264e-07,4.915744939456638e-07
