nk,sample,steady_blocks,psi[0]_sin,psi[0]_cos,psi[0]_amp,Jpsi[0]_y_sin,vx_sin,pi_xy_sin,psi[0]_mean,Jpsi[0]_y_cos,Jpsi[0]_y_amp,Jpsi[0]_y_mean,vx_cos,vx_amp,vx_mean,pi_xy_cos,pi_xy_amp,pi_xy_mean
16,17,251,0.02733790892529664,-3.1702118592432955e-07,0.027338200112853706,1.3930445230830517e-09,-1.1851308983622868e-05,-1.4732635328943064e-07,-1.447942642371495e-20,-0.000294520812147765,0.0002945209951061261,2.5081681346997215e-07,-2.687261019502339e-05,0.0002685601677609013,-6.884251842226182e-22,-5.431131435801564e-07,9.893593324793075e-06,8.689680634182561e-23
16,18,251,0.027414283732408784,8.181975209531847e-06,0.027414613607402185,-4.581221006874288e-09,-1.3525233338352597e-05,-8.177233608711157e-07,1.8479491709818918e-20,-0.00029451701877151136,0.00029451723147189086,-5.231707336593685e-08,8.821402258427691e-06,0.0002848145141920215,2.848190468058284e-21,-9.98972166239476e-08,1.0423871098820375e-05,-3.683974637792607e-23
16,19,251,0.027447693555623043,1.623498269840054e-05,0.027448048891018664,-7.185546468912457e-09,2.7186966038022702e-05,1.213256628082137e-07,-8.360091452847223e-21,-0.00029452660767454846,0.0002945267844995444,1.1978448480067424e-07,-3.079622505732231e-06,0.00030045639144193334,-1.1428757960297068e-21,6.412699525399601e-07,1.0390905101322941e-05,-2.840316323794301e-23
16,20,251,0.02742442260489022,6.343554676211844e-06,0.02742468040377876,2.422932365397727e-09,-1.796596394504156e-05,2.342582296306629e-07,1.403397483392384e-20,-0.0002945222979988847,0.00029452249767213345,-2.9084122526567744e-09,1.8763041387056088e-05,0.0003005680292245165,1.741310760092506e-21,-1.7715054906152252e-07,1.015370563532567e-05,-1.659194684196671e-23
16,21,251,0.027416061816815673,5.935479288486343e-07,0.027416319422102438,-1.98556089870409e-09,1.1656481741773924e-05,3.4073956573641984e-07,-4.4230193208551246e-21,-0.0002945235526636646,0.0002945237058338834,2.0141848287382753e-09,5.383250062239824e-06,0.0002778292620062534,-5.0529508619738615e-21,3.2215717758607334e-08,1.0506924768993496e-05,-6.102461804587753e-23
16,22,251,0.02746865602744072,-5.73770405188677e-06,0.027468990383081787,2.5441419784404316e-09,-5.711642806256426e-06,-8.26624391404399e-07,1.3039582901157841e-20,-0.0002945327301477413,0.0002945329073837721,1.845179911007779e-07,1.0041004769772508e-05,0.00030285287639829513,-1.5163352096929575e-21,-1.6881905020764115e-07,1.007573309210847e-05,2.812194379994359e-23
16,23,251,0.027445275073877205,2.059524959013484e-05,0.027445635290114175,1.1373843577767207e-09,2.5305500731649997e-05,-4.765573732718821e-07,-2.863038854384655e-20,-0.0002945262819891014,0.00029452649064622984,-2.542826325399181e-07,1.775043734508789e-05,0.00030225174030164563,1.8313009802523256e-21,-4.099315818537683e-07,1.0662039609757218e-05,-7.930388151584087e-23
16,24,251,0.02743839027787318,-6.365452013705302e-06,0.027438690871271584,-5.480322092104883e-09,-3.5089916145255825e-05,-7.574724684906602e-07,6.573785582674816e-21,-0.00029452759790435834,0.00029452779903644513,-2.570515117846547e-07,6.878571001915293e-07,0.00029594895438667606,-8.909031795822123e-22,-2.3742615931547524e-07,1.042708069354544e-05,1.2739240541374438e-22
16,25,251,0.027344637429805654,-5.300858082494261e-06,0.027344945174628942,2.9981507445596297e-09,-2.559447681889634e-05,4.228370329593505e-07,-4.620997805206727e-21,-0.0002945354329252333,0.0002945356530835688,2.059755310510777e-07,-1.3333137372206718e-05,0.0003122162228382833,-3.7357190143845036e-21,3.224890637284136e-07,1.0120165716635916e-05,-2.770011464294443e-23
16,26,251,0.027396959433806656,-4.425029782279052e-06,0.0273972721806002,5.91543950720562e-09,-7.681507580614094e-06,-3.694494576966571e-07,1.326905796256538e-20,-0.00029452210459855385,0.0002945222834349632,5.967142625080292e-08,1.9409503387611868e-06,0.0002975956501683198,-1.6648190729566607e-22,-7.31174117000622e-07,1.1061369931380072e-05,-6.341498326887275e-23
