mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
41,1.0308350894591509e+00,1.0308350894591509e+00,1.4578209640832140e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9847305251783435e-01,2.9853465887216757e-01,1.2815183787534363e-03,3.9244248094005206e-04,10,1152
42,1.0553787820653211e+00,1.0553787820653211e+00,1.4925309870375760e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9703374738844435e-01,2.9799954876347906e-01,1.2448401012651487e-03,1.1406576556932562e-03,10,1152
43,1.0799224746714913e+00,1.0799224746714913e+00,1.5272410099919382e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0991392785509908e-01,3.0979567862470281e-01,1.2584572509225479e-03,1.0988749770540567e-03,10,1152
44,1.1044661672776617e+00,1.1044661672776617e+00,1.5619510329463007e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9743500946991813e-01,2.9630085174171622e-01,1.2495880273856413e-03,7.1014121293674535e-04,10,1152
45,1.1290098598838318e+00,1.1290098598838318e+00,1.5966610559006627e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9027264523067231e-01,2.9087594607625772e-01,1.2057492665525399e-03,8.3960822534144271e-04,10,1152
46,1.1535535524900022e+00,1.1535535524900022e+00,1.6313710788550251e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9836718972168824e-01,2.9735738065979883e-01,1.2666629332473186e-03,1.0795767721594781e-03,10,1152
47,1.1780972450961724e+00,1.1780972450961724e+00,1.6660811018093873e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9300947687168261e-01,2.9354379378015649e-01,1.2301960697470829e-03,6.6898991682705258e-04,10,1152
48,1.2026409377023426e+00,1.2026409377023426e+00,1.7007911247637495e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9728158619777351e-01,2.9537434214381775e-01,1.2240756318249015e-03,8.3853270537903916e-04,10,1152
49,1.2271846303085130e+00,1.2271846303085130e+00,1.7355011477181119e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9449720823761966e-01,2.9448984887979157e-01,1.2099191658632292e-03,4.8554921830243835e-04,10,1152
50,1.2517283229146832e+00,1.2517283229146832e+00,1.7702111706724739e+00,1.0000000000000000e+02,5.0000000000000000e+03,2.9285110584203156e-01,2.9325177427868454e-01,1.2092212730255721e-03,7.4385620382978941e-04,10,1152
