k,count,transfer_mean,transfer_std,transfer_sem,dissipation_mean,dissipation_std,dissipation_sem,production_mean,production_std,production_sem,total_mean,total_std,total_sem
1.0852914074290912e-01,7.4000000000000000e+02,2.6092798722206960e-15,1.1340161590781779e-16,4.0093525802965105e-17,-2.2053808778076412e-13,1.1188154536419413e-16,3.9556099708326004e-17,2.1779766400219168e-13,2.5108550993755981e-17,8.8772133367265399e-18,-1.3114390635178266e-16,1.5329726102681355e-17,5.4198766404692049e-18
1.0891263593988053e-01,7.8800000000000000e+02,2.7389423540766204e-15,1.1993960557558941e-16,4.2405054217669555e-17,-2.3320237293427022e-13,1.0010969109874899e-16,3.5394120719207980e-17,2.3031326692530114e-13,3.5765373368583196e-17,1.2644969020296966e-17,-1.5016365489245715e-16,1.1660401778673070e-17,4.1225745845297039e-18
1.0929613113685194e-01,7.3600000000000000e+02,2.5451333059813227e-15,1.1031802592788413e-16,3.9003312110360115e-17,-2.1627318176229257e-13,1.1010345598453200e-16,3.8927450179368563e-17,2.1358194589209867e-13,2.2925448368863989e-17,8.1053700016829000e-18,-1.4610256421254492e-16,1.7237638016483835e-17,6.0944253665473741e-18
1.0967962633382335e-01,7.3200000000000000e+02,2.5161132363071950e-15,1.0931173267857117e-16,3.8647533720134395e-17,-2.1357260794519151e-13,9.2393249279223845e-17,3.2665946550599139e-17,2.1090533434246706e-13,2.0810727885579625e-17,7.3577034046606664e-18,-1.5116036641721052e-16,1.3302651007599860e-17,4.7031973676159600e-18
1.1006312153079476e-01,7.1600000000000000e+02,2.4323107109124878e-15,1.0547621414826177e-16,3.7291473139060180e-17,-2.0745338259829660e-13,1.0671499332439210e-16,3.7729447716977400e-17,2.0487532233923831e-13,4.5580400049510680e-17,1.6115104982102324e-17,-1.4574954814576798e-16,1.7371158254537953e-17,6.1416318994242277e-18
1.1044661672776616e-01,6.8400000000000000e+02,2.2989167768759764e-15,1.0167971236947799e-16,3.5949207062777780e-17,-1.9683084164371333e-13,1.0323943421369195e-16,3.6500652009182018e-17,1.9438958468458174e-13,3.7946511898785320e-17,1.3416117943003556e-17,-1.4234018225562611e-16,2.2006602292360304e-17,7.7805088559016964e-18
1.1083011192473757e-01,7.2000000000000000e+02,2.3982758029745680e-15,1.0587264359937942e-16,3.7431632115633854e-17,-2.0575515540632473e-13,9.9070889191765362e-17,3.5026848782839157e-17,2.0321117339131768e-13,2.1819876040554062e-17,7.7144911564628258e-18,-1.4570621203247138e-16,1.5486760629405472e-17,5.4753967298327269e-18
1.1121360712170898e-01,6.6000000000000000e+02,2.1789839973825992e-15,9.7195873211138666e-17,3.4363930525472020e-17,-1.8729221077465487e-13,9.7082204218267675e-17,3.4323742467637160e-17,1.8497784944939072e-13,2.7325544394964242e-17,9.6610388706466339e-18,-1.3537732788154000e-16,3.0981143805238331e-17,1.0953488436799811e-17
1.1159710231868039e-01,6.9200000000000000e+02,2.2649107541924224e-15,9.8956398431487997e-17,3.4986370186351499e-17,-1.9500478811043048e-13,1.0518971423663221e-16,3.7190180123898874e-17,1.9259078290501818e-13,2.4454106808915087e-17,8.6458323762219903e-18,-1.4909445121991207e-16,2.0394662444747996e-17,7.2106020573459598e-18
1.1198059751565180e-01,6.4800000000000000e+02,2.0979301322950387e-15,9.0644507428685058e-17,3.2047672940068790e-17,-1.8135151910737380e-13,8.4247753794717664e-17,2.9786079003989777e-17,1.7911329644528996e-13,3.2352431696484571e-17,1.1438311920229420e-17,-1.4029252978881493e-16,1.3409346245823821e-17,4.7409198308501977e-18
1.1236409271262321e-01,6.4400000000000000e+02,2.0684435696578283e-15,9.1467063259869536e-17,3.2338490343136331e-17,-1.7899492446912707e-13,9.1956170526044937e-17,3.2511415875456455e-17,1.7677663915484619e-13,2.6740234336049231e-17,9.4541005147688830e-18,-1.4984174462304811e-16,2.1483050040530890e-17,7.5954051821146624e-18
1.1274758790959463e-01,6.3600000000000000e+02,2.0252838323199426e-15,8.8803424615244306e-17,3.1396751869013811e-17,-1.7556067506336368e-13,9.9383383685476596e-17,3.5137332270632494e-17,1.7338884304989511e-13,3.0285464671146702e-17,1.0707528720176723e-17,-1.4654818114868040e-16,2.0392331888500023e-17,7.2097780812825204e-18
1.1313108310656604e-01,5.9200000000000000e+02,1.8630799716898504e-15,8.4118010493557913e-17,2.9740207819957980e-17,-1.6230450863902140e-13,9.6731739697732072e-17,3.4199834548119148e-17,1.6031647258409639e-13,3.9450985217151911e-17,1.3948029585769176e-17,-1.2495608323515119e-16,2.1818167251644227e-17,7.7138870083499452e-18
1.1351457830353745e-01,6.2000000000000000e+02,1.9458957089261358e-15,8.7052490424553106e-17,3.0777703149189247e-17,-1.6887692723741678e-13,7.7002401666165881e-17,2.7224460192898098e-17,1.6678691987590326e-13,2.8842339031577468e-17,1.0197306757254933e-17,-1.4411165258739079e-16,1.8119783666537316e-17,6.4063109521208889e-18
1.1389807350050886e-01,5.8800000000000000e+02,1.8160851567824998e-15,8.1876185900267104e-17,2.8947603133884627e-17,-1.5905023730227392e-13,1.0163975526283052e-16,3.5935080092244269e-17,1.5710563621280014e-13,4.3200579298838270e-17,1.5273711286697862e-17,-1.2851593269130223e-16,1.3698032609760665e-17,4.8429858736381134e-18
1.1428156869748027e-01,6.0400000000000000e+02,1.8551152731773169e-15,8.4782770526259662e-17,2.9975235983450578e-17,-1.6228003524731806e-13,9.7465369368814941e-17,3.4459211805770328e-17,1.6028780355750889e-13,2.2497759498318405e-17,7.9541591513825021e-18,-1.3711641663186213e-16,1.2900512080743795e-17,4.5610197865364578e-18
1.1466506389445168e-01,5.6000000000000000e+02,1.6982097764926413e-15,7.6690563621102511e-17,2.7114208794749967e-17,-1.4943058317415759e-13,7.1707271431456703e-17,2.5352348944783711e-17,1.4758879680196354e-13,2.3846425290407505e-17,8.4309845149527659e-18,-1.4357659570139248e-16,2.4478346030477046e-17,8.6544022351905632e-18
1.1504855909142309e-01,5.3200000000000000e+02,1.5970295911262089e-15,7.1282562856151708e-17,2.5202191787970592e-17,-1.4103341198180435e-13,7.7750394166816633e-17,2.7488915477641512e-17,1.3931226644304276e-13,2.8035640060135765e-17,9.9120956007136126e-18,-1.2411594763536032e-16,1.0655800616222117e-17,3.7673944373512246e-18
