k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
3.2597091742569875e-02,5.5200000000000000e+02,1.6643411869398347e-14,-1.8157402172897007e-12,1.7991127386445861e-12,1.5933224284088667e-17,3.2491191781714776e-16,4.0969223600130864e-16,1.9403724514544531e-16,2.2795880581849235e-17
3.2980586939541284e-02,5.4400000000000000e+02,1.6106033845684533e-14,-1.7472746622848403e-12,1.7311314062907301e-12,-3.7222148425555758e-17,3.2077516850502136e-16,5.2386792805501024e-16,2.7217498593370566e-16,2.7623063332386345e-17
3.3364082136512693e-02,5.4000000000000000e+02,1.5718028073251910e-14,-1.6946135760785593e-12,1.6788405712653963e-12,-5.4976739910960237e-17,3.0702567635866615e-16,5.6701757090721138e-16,3.9906379252430503e-16,1.6557587050716534e-17
3.3747577333484102e-02,5.3600000000000000e+02,1.5326643319296356e-14,-1.6452446683443940e-12,1.6298904661696112e-12,-2.7558855486404739e-17,2.8876593265205294e-16,3.4052893733844871e-16,3.5842694263930090e-16,2.3093099520918069e-17
3.4131072530455518e-02,5.8400000000000000e+02,1.6465294830179335e-14,-1.7527178142314465e-12,1.7362140605962766e-12,-3.8458804990604327e-17,3.3329413014917048e-16,4.7086527018599768e-16,3.2990836354935847e-16,2.2115674649741738e-17
3.4514567727426927e-02,5.5600000000000000e+02,1.5393189561332974e-14,-1.6309829179828676e-12,1.6155391173754335e-12,-5.0611046101139440e-17,2.9435418942192611e-16,3.3855201627926135e-16,2.1776078692972401e-16,2.1446150686285127e-17
3.4898062924398336e-02,5.7600000000000000e+02,1.5713406547714977e-14,-1.6529599403987868e-12,1.6372140000519144e-12,-3.2533799157236884e-17,2.9409699040428982e-16,3.7806511536917846e-16,1.8233975769278091e-16,2.7657705570562788e-17
3.5281558121369745e-02,5.6800000000000000e+02,1.5210366049641508e-14,-1.5956504937246048e-12,1.5804067144937418e-12,-3.3413181221707409e-17,2.9793095944447968e-16,2.8631870306051868e-16,3.6564154534192479e-16,2.5369981598673066e-17
3.5665053318341154e-02,5.9200000000000000e+02,1.5649256390839917e-14,-1.6272909303166062e-12,1.6116218235716059e-12,-1.9850354160174393e-17,3.0707386107851172e-16,3.9110634824466939e-16,2.4940497771970823e-16,2.9719562567165969e-17
3.6048548515312570e-02,5.8000000000000000e+02,1.5064355095308710e-14,-1.5609106901481701e-12,1.5457895719711378e-12,-5.6763081723601910e-17,2.8213566023699657e-16,4.2465431369697032e-16,2.1435476587269387e-16,4.2965592816280940e-17
3.6432043712283979e-02,5.9200000000000000e+02,1.5164804576802742e-14,-1.5598826947749579e-12,1.5447277129115849e-12,9.8227134298600640e-18,2.8924192276703616e-16,4.7456240408505134e-16,2.4394288440512458e-16,1.9210747699625196e-17
3.6815538909255388e-02,6.0000000000000000e+02,1.5143525942013474e-14,-1.5490008746689160e-12,1.5338385803641930e-12,-1.8768362709513574e-17,2.7915721145204906e-16,4.5913967965556475e-16,2.8632306660947092e-16,2.6028032857818497e-17
3.7199034106226797e-02,6.1200000000000000e+02,1.5165374952050222e-14,-1.5475991427677587e-12,1.5324809383776571e-12,4.7170561948841653e-17,2.8800243207913886e-16,3.5729830781343639e-16,2.5014702434176773e-16,2.6169062689966138e-17
3.7582529303198206e-02,6.6400000000000000e+02,1.6247146074973836e-14,-1.6436861887171761e-12,1.6274202109058805e-12,-1.8831736321606320e-17,2.9396196654447920e-16,4.2743729415796967e-16,3.1233692784355334e-16,2.8024991136959072e-17
3.7966024500169622e-02,5.9200000000000000e+02,1.4232399556358937e-14,-1.4357864343806955e-12,1.4215234786877608e-12,-3.0556136575401922e-17,2.5845338791381614e-16,4.2433364142573649e-16,2.1854846498367376e-16,2.8256394917747487e-17
3.8349519697141031e-02,6.4000000000000000e+02,1.5191771028125999e-14,-1.5215865571879740e-12,1.5063575357922540e-12,-3.7250367593753650e-17,2.7343142547598262e-16,4.0742276645826901e-16,2.4261915644358143e-16,2.8194724302424268e-17
3.8733014894112440e-02,5.9600000000000000e+02,1.3948967078433360e-14,-1.3900180278323814e-12,1.3760806708248795e-12,1.1610070931461903e-17,2.5443158712041604e-16,2.5083164065838344e-16,1.7307198660674823e-16,1.6996478534155295e-17
3.9116510091083849e-02,6.6400000000000000e+02,1.5292384637999465e-14,-1.5185067270007357e-12,1.5031782025296755e-12,-3.6139833060882729e-17,2.7707610826404898e-16,3.0623265365639151e-16,1.7335354104731358e-16,2.5150738347674497e-17
3.9500005288055258e-02,6.7200000000000000e+02,1.5256221596494635e-14,-1.5065883091169585e-12,1.4912938897408586e-12,-3.8197779605416622e-17,2.7645944081002946e-16,2.3058533529097274e-16,8.5998891393549889e-17,1.5231778117173009e-17
