time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
2.0840448000000000e+07,1.3052197206991143e+05,6.6407687826094188e+04,9.1573519039675973e-10,8.8806878928283731e-10,6.1580978401813518e+03,1.1739343184635945e+02,1.6464493940434248e+04,3.5289293076514783e-11,4.1105905474488030e-11,6.1148591381958056e+02
2.0856832000000000e+07,1.3052983267999481e+05,6.6232567818612573e+04,9.1583669054759786e-10,8.9756490610421155e-10,6.1460633305176607e+03,1.1629894275355150e+02,1.6442949092859562e+04,3.6251662517581554e-11,4.7477442683224636e-11,6.0895435848445709e+02
2.0873216000000000e+07,1.3092223890237512e+05,6.6042732817491604e+04,9.1656740270064613e-10,8.9554318950987753e-10,6.1289317827920240e+03,1.4461902583407891e+02,1.6485488414887044e+04,3.8353214428299028e-11,5.4028580412189690e-11,6.0150380279370586e+02
2.0889600000000000e+07,1.3053476911298549e+05,6.5846934163738639e+04,9.0788888521522614e-10,8.8850101746343533e-10,6.1462747118703592e+03,1.3387528593928826e+02,1.6536226837218423e+04,3.6487181786377844e-11,5.0321098307341051e-11,6.1047181749834931e+02
2.0905984000000000e+07,1.3056603211267684e+05,6.5723197656214004e+04,9.0657718373139865e-10,9.0136057720470998e-10,6.1441324298219870e+03,1.7643169473096316e+02,1.6584130623877583e+04,3.6597158998595689e-11,5.0542996875167614e-11,6.1266836823981180e+02
2.0922368000000000e+07,1.3070194387492383e+05,6.5690232086204473e+04,9.1355701391142787e-10,9.1334893586820667e-10,6.1161810149262355e+03,1.6520125755537077e+02,1.6657159038532911e+04,3.9046138102661221e-11,5.3726034637959729e-11,6.0774305801887795e+02
2.0938752000000000e+07,1.3067163622126666e+05,6.5727678322741252e+04,9.1090215925787665e-10,9.2715818915340405e-10,6.1278883152124681e+03,1.6916834960359435e+02,1.6723822013084900e+04,3.7054805813801850e-11,4.9598801477865278e-11,6.1845238856086144e+02
2.0955136000000000e+07,1.3051263238266802e+05,6.5798749580092073e+04,9.1873475977200286e-10,9.1992049429275302e-10,6.1004101362348383e+03,1.1045163907817376e+02,1.6761967068640784e+04,3.8640075271730363e-11,5.3032943034195856e-11,6.0815953683228827e+02
2.0971520000000000e+07,1.3050986654717117e+05,6.5841930776317735e+04,9.1487678465246379e-10,9.2325634504969528e-10,6.1161624776484150e+03,1.5384457289716480e+02,1.6811828264618016e+04,3.6800430240326277e-11,5.0960185298335724e-11,6.1765726084405367e+02
2.0987904000000000e+07,1.3044680304930940e+05,6.5917602270540621e+04,9.0583074860322540e-10,9.1892771115193357e-10,6.1524734658692005e+03,8.7089839392264238e+01,1.6870099312025712e+04,3.3923751414804315e-11,5.1247776251436455e-11,6.3130669646501622e+02
